model_id,label,model_type,family,params_M,mflops_tok,hidden_size,n_layers_unique,max_iters,notes,ppl,avg10,arc_c,arc_e,boolq,copa,hella,obqa,piqa,sciq,wino,mmlu,gsm8k
v0_gpt_baseline_d768,V0 GPT 12×1,GPT,gpt,162,321,768,12,1,,38.3084,46.67,24.488,45.875,56.606,59.0,32.991,29.6,63.166,78.1,51.697,25.196,2.199
v9_gpt_baseline_d1024_lr1e3,V9 GPT 24×1,GPT,gpt,354,503,1024,24,1,,29.8401,49.34,27.133,52.736,57.737,65.0,38.468,29.0,65.452,82.8,50.355,24.754,2.881
v12_gpt_6x2_d768_lr2e3,V12 GPT 6×2,Recurrent-GPT,gpt,120,321,768,6,2,,39.9761,46.39,23.976,46.002,56.667,58.0,32.294,30.8,63.112,77.7,50.592,24.712,2.047
v54_parallel_gpt_12x1_d768_lr2e3,V54 ParallelGPT 12×1,GPT,gpt,144,321,768,12,1,parallel layout,37.4354,46.75,26.28,47.601,52.049,60.0,33.35,30.8,64.363,77.6,51.144,24.341,2.35
v1_12x1_d768_lr2e3,V1 EGPT 12×1,EGPT,egpt,176,359,768,12,1,lr=2e-3,47.6608,46.49,23.635,44.613,61.101,64.0,30.771,29.2,62.187,75.2,50.671,23.515,1.744
v1_400m_d1024_lr7e4,V1-400M EGPT 24×1,EGPT,egpt,354,755,1024,24,1,,38.6101,48.07,25.171,48.611,60.122,65.0,34.525,29.6,62.786,77.5,51.697,25.701,1.668
v2_6x2_d768,V2 EGPT 6×2,EGPT,egpt,110,359,768,6,2,lr=3e-4,63.3221,44.25,22.526,40.236,61.04,56.0,28.331,28.2,61.371,69.3,50.75,24.726,1.971
v5_12x1_d768_attn_only_energy_lr2e3,V5 AttnOnly 12×1,EGPT,egpt,143,331,768,12,1,proj_mlp removed,48.6352,45.94,23.891,44.823,57.248,62.0,30.582,28.6,62.786,73.7,51.381,24.356,1.971
v6_12x1_d768_helmholtz_factored_lr2e3,V6 HelmF 12×1,EGPT,egpt,140,359,768,12,1,Helmholtz factored,82.0786,41.55,23.379,38.384,49.969,55.0,27.694,25.8,58.868,61.5,50.75,24.17,1.365
v7_12x1_d768_helmholtz_dual_lr2e3,V7 HelmD 12×1,EGPT,egpt,140,359,768,12,1,Helmholtz dual,63.367,42.91,22.099,41.33,47.187,61.0,28.68,27.0,60.827,66.7,50.75,23.487,1.289
